Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3223210;Pinus nigra;20,8;867,73;56,4;9,06;3,3;0,53;0,2;0,42;N/A;N/A;49,3;0,21;N/A;1,16
3223211;Pinus nigra;15,3;604,38;27,6;4,43;2,2;0,35;0,1;0,23;N/A;N/A;27,5;0,12;N/A;0,70
3223212;Pinus nigra;16,3;646,29;31,9;5,13;2,4;0,38;0,1;0,26;N/A;N/A;30,8;0,13;N/A;0,77
3223213;Pinus;22,0;889,94;160,8;25,84;9,1;1,46;0,4;0,68;N/A;N/A;80,7;0,34;N/A;2,48
3223214;Pinus;24,3;1 018,34;204,5;32,85;10,5;1,68;0,4;0,85;N/A;N/A;101,3;0,43;N/A;2,96
3223215;Pinus nigra;10,9;451,47;12,6;2,03;1,4;0,22;0,1;0,13;N/A;N/A;15,6;0,07;N/A;0,42
3223216;Pinus nigra;23,3;1 013,96;73,6;11,82;3,9;0,62;0,3;0,52;N/A;N/A;62,0;0,26;N/A;1,41
3223217;Pinus nigra;18,2;733,23;41,3;6,63;2,8;0,45;0,2;0,32;N/A;N/A;38,0;0,16;N/A;0,93
3223218;Pinus nigra;17,6;704,74;38,2;6,13;2,7;0,43;0,2;0,30;N/A;N/A;35,6;0,15;N/A;0,88
3223219;Pinus nigra;26,8;1 246,54;102,1;16,40;4,7;0,75;0,4;0,70;N/A;N/A;82,4;0,35;N/A;1,80
3223220;Pinus nigra;18,2;733,23;41,3;6,63;2,8;0,45;0,2;0,32;N/A;N/A;38,0;0,16;N/A;0,93
3223221;Pinus nigra;22,0;935,85;64,3;10,33;3,6;0,58;0,2;0,47;N/A;N/A;55,2;0,23;N/A;1,28
3223223;Pinus nigra;19,8;813,88;50,3;8,07;3,1;0,50;0,2;0,38;N/A;N/A;44,7;0,19;N/A;1,07
3223224;Pinus nigra;23,3;1 013,96;73,6;11,82;3,9;0,62;0,3;0,52;N/A;N/A;62,0;0,26;N/A;1,41
3223225;Acer negundo;41,5;1 560,68;485,2;77,96;19,0;3,06;1,4;2,66;N/A;N/A;315,7;1,33;N/A;7,06
3223227;Picea abies;18,2;746,98;80,8;12,98;3,4;0,55;0,3;0,51;N/A;N/A;60,2;0,25;N/A;1,31
3223229;Picea abies;13,7;547,92;44,2;7,10;2,4;0,39;0,1;0,28;N/A;N/A;33,6;0,14;N/A;0,81
3223230;Picea abies;16,9;683,71;68,9;11,07;3,1;0,50;0,2;0,43;N/A;N/A;51,5;0,22;N/A;1,15
3223544;Rhus typhina;9,0;225,52;6,4;1,02;0,9;0,15;0,1;0,11;N/A;N/A;13,4;0,06;N/A;0,32
3223545;Salix;72,3;4 578,64;4 708,4;756,48;60,3;9,68;1,9;3,69;N/A;N/A;437,5;1,85;N/A;15,22
3223546;Picea abies;17,9;731,96;78,0;12,53;3,3;0,54;0,3;0,49;N/A;N/A;58,1;0,25;N/A;1,27
3223549;Parrotia persica;16,3;668,89;65,5;10,53;3,8;0,62;0,4;0,69;N/A;N/A;82,1;0,35;N/A;1,66
3223561;Quercus palustris;5,5;88,85;11,8;1,90;2,7;0,43;0,0;0,06;N/A;N/A;7,5;0,03;N/A;0,52
3223562;Betula pendula;33,5;1 698,67;351,8;56,51;19,1;3,06;1,2;2,19;N/A;N/A;259,9;1,10;N/A;6,35
3223563;Betula pendula;25,5;1 124,64;179,2;28,80;12,8;2,06;0,9;1,62;N/A;N/A;192,0;0,81;N/A;4,49
3223564;Betula pendula;34,4;1 772,99;375,6;60,34;19,8;3,18;1,2;2,25;N/A;N/A;266,7;1,13;N/A;6,56
3223565;Betula pendula;25,5;1 124,64;179,2;28,80;12,8;2,06;0,9;1,62;N/A;N/A;192,0;0,81;N/A;4,49
3223566;Betula pendula;33,2;1 674,34;344,0;55,27;18,8;3,02;1,1;2,17;N/A;N/A;257,6;1,09;N/A;6,28
3223567;Betula pendula;24,9;1 087,87;169,0;27,15;12,4;1,99;0,8;1,57;N/A;N/A;186,6;0,79;N/A;4,35
3223568;Betula pendula;25,5;1 124,64;179,2;28,80;12,8;2,06;0,9;1,62;N/A;N/A;192,0;0,81;N/A;4,49
3223569;Betula pendula;27,4;1 246,88;214,0;34,39;14,2;2,28;0,9;1,76;N/A;N/A;209,1;0,88;N/A;4,93
3223570;Betula pendula;35,7;1 883,82;411,7;66,14;20,9;3,36;1,2;2,33;N/A;N/A;276,2;1,17;N/A;6,86
3223571;Betula pendula;21,1;875,28;112,3;18,04;9,7;1,56;0,7;1,28;N/A;N/A;151,4;0,64;N/A;3,48
3223576;Rhus typhina;12,5;527,75;13,6;2,18;1,4;0,23;0,1;0,13;N/A;N/A;15,6;0,07;N/A;0,43
